id,title,description,category,role,expertise,claudeEnterpriseLink,feedbackUrl
SKILL-01,Email Intent Decoder,"Surfaces the question behind the question in incoming customer emails and pre-drafts context-aware replies that pre-empt the most likely follow-up contact.",Customer Contact,Agent,Beginner,https://claude.ai/project/email-intent,https://forms.gle/skills/email-intent
SKILL-02,Knowledge Base Curator,"Monitors which KB articles agents skip, flags stale content, and rewrites unclear entries using real call transcripts as training material.",Customer Contact,Agent,Intermediate,https://claude.ai/project/kb-curator,https://forms.gle/skills/kb-curator
SKILL-03,Email Quality Scorer,"Scores outgoing emails on clarity, tone, and first-time-right potential. Flags messages likely to generate follow-up contacts before they leave the queue.",Customer Contact,Quality,Intermediate,https://claude.ai/project/email-quality,https://forms.gle/skills/email-quality
SKILL-04,Agent Real-Time Coach,"Listens to live call summaries and whispers coaching cues to agents: escalation signals, upsell moments, empathy prompts, and regulatory compliance flags.",Customer Contact,Agent,Beginner,https://claude.ai/project/agent-coach,https://forms.gle/skills/agent-coach
SKILL-05,Contract Clause Extractor,"Parses supplier and customer contracts and extracts key obligations, pricing formulas, renewal dates, and penalty clauses into structured JSON for downstream use.",Legal & Procurement,Legal,Intermediate,https://claude.ai/project/contract-extractor,https://forms.gle/skills/contract-extractor
SKILL-06,Churn Signal Detector,"Scores customer accounts on churn risk using behavioral signals: contact frequency, complaint history, competitive mentions, and payment patterns.",Customer Intelligence,Analyst,Advanced,https://claude.ai/project/churn-detector,https://forms.gle/skills/churn-detector
SKILL-07,Regulatory Change Scanner,"Monitors Dutch energy regulation feeds daily, flags changes relevant to Budget Thuis products, and drafts structured compliance memos for legal review.",Compliance,Compliance,Intermediate,https://claude.ai/project/reg-scanner,https://forms.gle/skills/reg-scanner
SKILL-08,Personalized Energy Report,"Generates individualized monthly energy reports per customer comparing usage to similar households and recommending specific savings actions.",Product & CX,Product,Intermediate,https://claude.ai/project/energy-reports,https://forms.gle/skills/energy-reports
SKILL-09,Invoice Anomaly Detector,"Cross-references supplier invoices against contract rates and market indices, flags discrepancies for human review, and estimates overbilling exposure.",Finance,Finance,Intermediate,https://claude.ai/project/invoice-anomaly,https://forms.gle/skills/invoice-anomaly
SKILL-10,Meeting Intelligence Summarizer,"Turns raw meeting transcripts into structured action items, decisions, open questions, and owners formatted for Notion or email with a single prompt.",Productivity,All,Beginner,https://claude.ai/project/meeting-intel,https://forms.gle/skills/meeting-intel
SKILL-11,Process Gap Finder,"Analyzes CRM event logs and operational data to surface hidden inefficiencies in customer journeys, quantifies the time and cost impact, and drafts a priority fix list.",Operations,Manager,Advanced,https://claude.ai/project/process-gap,https://forms.gle/skills/process-gap
SKILL-12,Smart Meter Anomaly Hunter,"Interprets patterns in smart meter reading streams to flag ghost consumption, meter drift, and potential energy fraud before they surface as billing disputes.",Data & Grid,Data,Advanced,https://claude.ai/project/meter-anomaly,https://forms.gle/skills/meter-anomaly
