id,title,author,date,introduction,problem,hypothesis,approach,conclusion,datasection,imageUrl,problemImage,approachImage,outcomeImage,templateVariant
KCC-01,Reading Between the Lines,KCC Team,April 2026,"KCC handles 3500+ emails per week. Most replies address the surface question but miss the emotional or practical need underneath, triggering costly follow-up contacts.","Agents answer what customers wrote, not what they meant. A billing question often hides anxiety about an upcoming disconnection. Addressing only the literal question means the customer comes back.","If AI surfaces the latent intent behind each email and pre-populates a draft that addresses both layers, first-time-right rates will improve significantly.","Claude reads the incoming email plus interaction history, extracts the underlying concern, and generates a draft addressing both the stated and actual question. Agents review, edit, and send.","Pilot with 12 agents over 6 weeks: 22% reduction in email repeat contacts and 40% faster drafting time. Expanding to full KCC team Q3 2026.","{""hoursSaved"": 1400, ""processesAutomated"": 1, ""impact"": ""22% fewer repeat email contacts in pilot. 40% faster average draft time.""}",,,,,A
KCC-02,Full Coverage Quality Control,KCC Quality Team,May 2026,"Quality coordinators can manually review 8% of outgoing emails. That means 92% of customer communications leave without any quality check.","Manual sampling creates blind spots. Issues with tone, accuracy, or compliance surface only after complaints, by which time the damage is done.","An AI scorer running across full email volume lets coordinators focus time on flagged outliers rather than random sampling.","AI scores each outgoing email on clarity, tone, regulatory compliance, and first-time-right likelihood. Emails below threshold are held for human review. Weekly dashboards track quality by agent.","Shadow-mode proof-of-concept alongside manual QC shows 84% agreement between AI and human scorers. Full rollout planned Q3 2026.","{""hoursSaved"": 800, ""processesAutomated"": 1, ""impact"": ""Coverage from 8% to near-100%. Coordinator time shifted from sampling to exception review.""}",,,,,B
KCC-03,Instant Answers in the Moment,KCC Platform Team,March 2026,"Genesys surfaces KB articles during live calls, but agents often bypass it when articles are outdated or too long to scan in real time.","Average handling time spikes when agents hunt for answers manually. KB adoption is low because the content is not trustworthy or fast enough.","Augmenting Genesys KB retrieval with AI reranking and answer synthesis will make the tool fast and accurate enough that agents actually use it.","Claude API integrated with Genesys via CoE architecture. Incoming call context triggers KB search and AI synthesizes a direct answer with source attribution. No Claude seat licence required for frontline agents.","Live pilot with 25 agents: AHT down 18 seconds per call. First-contact resolution improved 9 percentage points for calls where KB was consulted. Scaling to 180 agents.","{""hoursSaved"": 2600, ""processesAutomated"": 2, ""impact"": ""AHT minus 18 sec per call. FCR plus 9 points in KB-assisted cohort.""}",,,,,C
KCC-04,The Always-On Coach,KCC Learning Team,June 2026,"Training 180+ KCC agents is time-intensive and inconsistent. New agents take 6 weeks to reach baseline proficiency and coaching quality depends on individual team leaders.","Trainer capacity limits coaching sessions. Roleplay practice is squeezed into short windows and performance consequences are real.","An always-on AI coach simulating customer conversations and giving instant feedback will cut time-to-proficiency and improve coaching consistency across the team.","LLM-based roleplay simulator trained on anonymised call transcripts and KB content. Agents practice on realistic scenarios and AI scores empathy, accuracy, and resolution rate. Team leaders get weekly analytics.","Early access cohort of 20 new agents showed 33% faster time-to-proficiency versus control group. Rolling out to all new hires from Q3 2026.","{""hoursSaved"": 3200, ""processesAutomated"": 3, ""impact"": ""Time-to-proficiency: 6 weeks to 4 weeks. Coaching coverage plus 150%. Coach time freed: 12 hours per week per team leader.""}",,,,,D
ENG-01,The Grid Intelligence Layer,Data & Grid Team,February 2026,"Budget Thuis processes millions of smart meter readings daily. Hidden in that stream are ghost consumption events, meter drift, and early signs of energy fraud, all invisible to current rule-based checks.","Current anomaly detection flags only obvious outliers. Subtle patterns like a meter consistently under-reading in cold weather or consumption not matching the property profile slip through until a billing dispute surfaces.","An AI model trained on historical reading patterns, weather data, and property profiles can detect subtle anomalies months before they escalate.","Pattern model running on daily meter batches flags readings that deviate from expected behaviour given weather, season, similar-property baseline, and historical trends. High-confidence flags route to the field team.","Pilot across 50000 meters detected 340 anomalies in 8 weeks. 67% confirmed as genuine issues versus 31% for the previous rule-based system. Field visit efficiency improved 2.1x.","{""hoursSaved"": 4200, ""processesAutomated"": 5, ""impact"": ""Detection accuracy plus 67% vs rule-based. Field visit efficiency 2.1x. 340 anomalies surfaced in 8-week pilot.""}",,,,,A
CX-01,90 Days Ahead,Customer Intelligence Team,January 2026,"Most churn-prevention efforts kick in after a customer signals intent. By then win-back costs are 5x higher than retention costs.","Churn signals exist in the data weeks before customers consciously decide to leave: complaint frequency, billing confusion patterns, competitive ad exposure. These signals are invisible in siloed systems.","A churn propensity model aggregating cross-system signals 90 days before typical churn enables retention outreach when it is cheapest and most effective.","Feature engineering across CRM, billing, contact history, and external data. Model scores the full customer base weekly. Top-decile at-risk customers trigger personalised retention workflows.","Six-month pilot retained 1840 customers who would statistically have churned. Net retention value: 2.3 million euros. Expanding to full base with automated offer generation.","{""hoursSaved"": 1200, ""processesAutomated"": 4, ""impact"": ""1840 customers retained in pilot. EUR 2.3M net retention value. Churn rate in targeted cohort minus 31%.""}",,,,,B
LEG-01,From Days to Minutes,Legal & Procurement Team,March 2026,"Budget Thuis manages hundreds of supplier and grid operator contracts. Legal review is the bottleneck before any contract can be signed, amended, or disputed.","Junior legal staff spend 60-70% of their time manually extracting key clauses. This is slow, inconsistent, and keeps lawyers from higher-value work.","An AI extraction layer that reads uploaded contracts and structures key clauses will cut review time from days to hours without reducing accuracy.","Claude processes uploaded contract PDFs and extracts 22 predefined clause types including pricing, termination, liability, and force majeure. Flags anomalies versus standard templates and outputs structured JSON.","Tested on 43 live contracts: extraction accuracy 91%. Time per contract: 4 days to 40 minutes. AI extraction is now the mandatory first step for all new contracts.","{""hoursSaved"": 5800, ""processesAutomated"": 6, ""impact"": ""4 days to 40 min per contract review. 91% extraction accuracy. Legal capacity freed: 3 FTE-equivalent days per week.""}",,,,,C
OPS-01,Beat the Inbound Surge,Operations & CX Team,May 2026,"Every major grid outage triggers 300-600 extra contacts to KCC within the first two hours. Agents are overwhelmed and customer frustration compounds the outage experience.","Outage communications take 15-30 minutes to draft and approve, are generic, and are sent after the phones are already ringing.","If AI can generate personalised preapproved outage messages within 3 minutes of a confirmed grid fault, proactive outreach can suppress the inbound surge before it peaks.","Integration with grid monitoring system generates per-customer messages personalised by outage type, estimated resolution time, and product profile. Compliance review happens once on the template.","Deployed on 8 major outage events. Inbound surge suppressed by average 58%. Customer satisfaction during outages up 22 points. Rolling out to all future events.","{""hoursSaved"": 2100, ""processesAutomated"": 3, ""impact"": ""Inbound surge suppressed 58%. CSAT during outages plus 22 points. Communication delay: 30 min to 3 min.""}",,,,,D
DAT-01,Your Usage Your Story,Product & Data Team,April 2026,"Budget Thuis sends 1.2 million customers a generic annual energy summary. Most customers ignore it because it does not tell them anything they could not have guessed.","Generic reports do not drive behaviour change. Customers want to know if they use more than their neighbours and what switching their heating to off-peak would save them.","AI-generated personalised reports comparing usage to a matched peer group and generating specific saving suggestions will increase open rates and drive measurable consumption changes.","Claude generates a unique narrative report per customer segment across 450 micro-segments defined by property type, tenure, product portfolio, and region. Delivered via email with interactive charts.","A/B test with 40000 customers: personalised group open rate 61% versus 23% for generic. Average energy reduction in personalised group: 4.2% over following 3 months.","{""hoursSaved"": 960, ""processesAutomated"": 8, ""impact"": ""Open rate: 23% to 61%. Avg consumption reduction 4.2%. Customer effort score plus 18 points for report recipients.""}",,,,,A
MKT-01,Compliance at the Speed of Regulation,Regulatory & Compliance Team,February 2026,"Dutch energy regulation changes 8-12 times per year in ways that affect Budget Thuis products, pricing, and customer communication. Missing a change means compliance risk or product errors.","Regulatory monitoring is manual: one person reads feeds each morning and flags relevant changes. It is slow, subjective, and relies on no one missing anything.","An AI that monitors regulation feeds daily, classifies changes by relevance, and auto-drafts structured compliance memos will provide better coverage with less effort.","Daily automated fetch of ACM, CBS, ACER, and government gazette feeds. Claude classifies each item by impact area and generates a structured brief with plain-language summary, affected products, and urgency tier.","Running 4 months in parallel with manual monitoring. AI surfaced 3 high-impact changes missed by manual review. Zero false-positives required immediate action. Monitoring time reduced by 2.5 hours per day.","{""hoursSaved"": 3200, ""processesAutomated"": 7, ""impact"": ""3 regulation changes surfaced that manual review missed. Monitoring time minus 2.5h per day. Coverage: 5 feeds to 23 feeds.""}",,,,,B
